OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-0214632330,"TRIB TO SUGAR CR AUSTIN PWDR RD NR CHAR, NC(YRSW8)",Stream,,3050103,0.37,sq mi,,,35.17625419,-80.9147954,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214632335,"TRIB TO SUGAR CR UPGRAD YRLF NR CHAR, NC (YRSW9A)",Stream,,3050103,0.87,sq mi,,,35.17430988,-80.9072952,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214632340,"TRIB TO SUGAR CR BL YRLF NR CHARLOTTE, NC (YRSW9)",Stream,,3050103,1.02,sq mi,,,35.16653227,-80.9111843,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214632815,"SUGAR CR AT NC 49 NEAR CHARLOTTE, NC (YRSW41)",Stream,,3050103,41.2,sq mi,,,35.16458786,-80.912851,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214652600,"MCALPINE CR .5 MI BL US HWY 74, CHAR, NC (SITE 1)",Stream,,3050103,17.5,sq mi,,,35.15347878,-80.7403473,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214652625,"MCALPINE CR .7 MI BL US HWY 74, CHAR, NC (SITE 2)",Stream,,3050103,17.6,sq mi,,,35.15070107,-80.7422917,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02146579,"IRVIN'S CREEK AT LEBANON RD NR MINT HILL, NC",Stream,,3050103,5.27,sq mi,,,35.1662562,-80.689791,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214658200,"IRVINS CR AT MOUTH NR MATTHEWS, NC (SITE 4)",Stream,,3050103,14.4,sq mi,,,35.14958999,-80.7422917,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214658250,"MCALPINE CK 200FT AB SCLRR, CHARLOTTE, NC (SITE 5)",Stream,,3050103,32.1,sq mi,,,35.1493122,-80.7428473,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03439000,"FRENCH BROAD RIVER AT ROSMAN, NC",Stream,,6010105,67.9,sq mi,,,35.1433333,-82.8247222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2173.83,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,175,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0344114090,"DAVIDSON RIVER AT OLD HENDERSON WAY AT BREVARD, NC",Stream,,6010105,,,,,35.25622518,-82.699013,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,175,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03447000,"MUD CREEK AT NAPLES, NC",Stream,,6010105,109,sq mi,,,35.3873383,-82.5037316,,1,seconds,Interpolated from MAP.,NAD83,2047.48,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,89,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0344841000,"SOUTH HOMINY CREEK AT CANDLER, NC",Stream,,6010105,,,,,35.53566469,-82.6920735,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,21,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0344878100,"HOMINY CREEK NR WEST ASHEVILLE, NC",Stream,,6010105,104,sq mi,,,35.56138889,-82.5969444,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,21,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03450000,"BEETREE CREEK NEAR SWANNANOA, NC",Stream,,6010105,5.46,sq mi,,,35.65305556,-82.4052778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2726.39,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,21,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03451000,"SWANNANOA RIVER AT BILTMORE, NC",Stream,,6010105,130,sq mi,,,35.5683333,-82.5447222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1976.58,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,37,21,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03451500,"FRENCH BROAD RIVER AT ASHEVILLE, NC",Stream,,6010105,945,sq mi,,,35.60888889,-82.5780556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1950.28,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,21,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03451690,"NEWFOUND CREEK NEAR ALEXANDER, NC",Stream,,6010105,34.2,sq mi,,,35.66638889,-82.6344444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1910,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,21,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0345195390,"FLAT CREEK NEAR WEAVERVILLE, NC",Stream,,6010105,,,,,35.71871958,-82.6212433,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,21,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03453500,"FRENCH BROAD RIVER AT MARSHALL, NC",Stream,,6010105,1332,sq mi,,,35.78638889,-82.6608333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1646.79,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,37,115,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03454000,"BIG LAUREL CREEK NEAR STACKHOUSE, NC",Stream,,6010105,126,sq mi,,,35.91982636,-82.7615303,,1,seconds,Interpolated from MAP.,NAD83,1595.68,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,115,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03459500,"PIGEON RIVER NEAR HEPCO, NC",Stream,,6010106,350,sq mi,,,35.635,-82.99,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2335.95,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,37,87,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-03460000,"CATALOOCHEE CREEK NEAR CATALOOCHEE, NC",Stream,,6010106,49.2,sq mi,,,35.6672222,-83.0727778,,1,seconds,Interpolated from Digital MAP.,NAD83,2456.88,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,37,87,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-350904080443301,ME-309 MGW 1 MCALPINE GREENWAY,Well,,3050103,,,,,35.1512566,-80.7422917,24000,5,seconds,Interpolated from MAP.,NAD83,783,feet,0.1,feet,Interpolated from topographic map.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19870505,29.2,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-350904080443302,ME-310 MGW 2 MCALPINE GREENWAY,Well,,3050103,,,,,35.1512566,-80.7422917,24000,5,seconds,Interpolated from MAP.,NAD83,783,feet,0.1,feet,Interpolated from topographic map.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19870505,23.6,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-350904080443303,ME-311 MGW 3 MCALPINE GREENWAY,Well,,3050103,,,,,35.1512566,-80.7422917,24000,5,seconds,Interpolated from MAP.,NAD83,783,feet,0.1,feet,Interpolated from topographic map.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19870505,18.6,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351003080544202,ME-341 YRW 6A YORK RD LF,Well,,3050103,,,,,35.16764335,-80.911462,24000,5,seconds,Interpolated from MAP.,NAD83,585.1,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19860619,27.9,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351003080544203,ME-342 YRW 6B YORK RD LF,Well,,3050103,,,,,35.16764335,-80.911462,24000,5,seconds,Interpolated from MAP.,NAD83,585.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19860619,18.3,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351003080544204,ME-343 YRW 6C YORK RD LF,Well,,3050103,,,,,35.16764335,-80.911462,24000,5,seconds,Interpolated from MAP.,NAD83,584.6,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19860619,13,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351003080545101,ME-347 YRW8 YORK RD LF,Well,,3050103,,,,,35.1676433,-80.9139621,24000,5,seconds,Interpolated from MAP.,NAD83,584,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880330,15.5,ft,19,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351003080545102,ME-348 YRW 8A YORK RD LF,Well,,3050103,,,,,35.1676433,-80.9139621,24000,5,seconds,Interpolated from MAP.,NAD83,584.1,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880330,22.8,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351008080545901,ME-349 YRW 9 YORK RD LF,Well,,3050103,,,,,35.16903215,-80.9161844,24000,5,seconds,Interpolated from MAP.,NAD83,582.9,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880406,22,ft,23,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351008080545902,ME-350 YRW 9A YORK RD LF,Well,,3050103,,,,,35.16903215,-80.9161844,24000,5,seconds,Interpolated from MAP.,NAD83,582.9,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880406,26.5,ft,32,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351008080545903,ME-351 YRW 9B YORK RD LF,Well,,3050103,,,,,35.16903215,-80.9161844,24000,5,seconds,Interpolated from MAP.,NAD83,583.1,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880406,15.8,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351020080542601,ME-330 YRW 10A YORK RD LANDFILL,Well,,3050103,,,,,35.17236549,-80.9070175,24000,5,seconds,Interpolated from MAP.,NAD83,586,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880415,22.3,ft,31,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351020080542602,ME-331 YRW 10B YORK RD LF,Well,,3050103,,,,,35.17236549,-80.9070175,24000,5,seconds,Interpolated from MAP.,NAD83,585.9,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880406,20,ft,31.5,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351020080542603,ME-332 YRW 10C YORK RD LF,Well,,3050103,,,,,35.17236549,-80.9070175,24000,5,seconds,Interpolated from MAP.,NAD83,585.9,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880415,16.5,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351026080544301,ME-352 YRW A YORK RD LF,Well,,3050103,,,,,35.17403206,-80.9117398,24000,5,seconds,Interpolated from MAP.,NAD83,681.8,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Felsic Metaigneous Rock,,19700723,333,ft,350,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351028080543001,ME-329 YRW 1 YORK RD LF,Well,,3050103,,,,,35.17458764,-80.9081286,24000,5,seconds,Interpolated from MAP.,NAD83,619.4,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19801121,26.7,ft,32,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351029080542801,ME-333 YRW 11A YORK RD LF,Well,,3050103,,,,,35.1748654,-80.907573,24000,5,seconds,Interpolated from MAP.,NAD83,599.9,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880415,14.8,ft,14.8,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351029080542802,ME-334 YRW 11B YORK RD LF,Well,,3050103,,,,,35.1748654,-80.907573,24000,5,seconds,Interpolated from MAP.,NAD83,600.2,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880415,19.8,ft,24,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351029080542803,ME-335 YRW 11C YORK RD LF,Well,,3050103,,,,,35.1748654,-80.907573,24000,5,seconds,Interpolated from MAP.,NAD83,600.7,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880415,9.3,ft,10,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351034080544701,ME-344 YRW 7 YORK RD LF,Well,,3050103,,,,,35.1762542,-80.91285088,24000,5,seconds,Interpolated from MAP.,NAD83,622.9,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880330,23.1,ft,34,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351034080544702,ME-345 YRW 7A YORK RD LF,Well,,3050103,,,,,35.1762542,-80.91285088,24000,5,seconds,Interpolated from MAP.,NAD83,622.7,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880330,17,ft,19,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351034080544703,ME-346 YRW 7B YORK RD LF,Well,,3050103,,,,,35.1762542,-80.91285088,24000,5,seconds,Interpolated from MAP.,NAD83,622.8,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19880330,28.4,ft,36,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351036080542301,ME-336 YRW 2 YORK RD LF,Well,,3050103,,,,,35.1768098,-80.906184,24000,5,seconds,Interpolated from MAP.,NAD83,614.4,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19801203,16.8,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351036080550501,ME-362 YRW B14 YORK RD LF,Well,,3050103,,,,,35.17680969,-80.91785099,24000,5,seconds,Interpolated from MAP.,NAD83,622.7,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19821018,49.5,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351042080542501,ME-338 YRW 4 YORK RD LF,Well,,3050103,,,,,35.17847644,-80.9067396,24000,5,seconds,Interpolated from MAP.,NAD83,668.3,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,,35.7,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351043080543601,ME-361 YRW B13 YORK RD LF,Well,,3050103,,,,,35.17875417,-80.9097952,24000,5,seconds,Interpolated from MAP.,NAD83,645.3,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19821006,18.5,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351046080542301,ME-337 YRW 3 YORK RD LF,Well,,3050103,,,,,35.1795875,-80.906184,24000,5,seconds,Interpolated from MAP.,NAD83,672,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19801120,32.75,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351046080544801,ME-356 YRW B10A YORK RD LF,Well,,3050103,,,,,35.17958745,-80.9131286,24000,5,seconds,Interpolated from MAP.,NAD83,632.4,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19821105,27,ft,27.5,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351047080542701,ME-339 YRW 5 YORK RD LF,Well,,3050103,,,,,35.17986528,-80.9072952,24000,5,seconds,Interpolated from MAP.,NAD83,681,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351050080544901,ME-368 B5A YORK RD LF,Well,,3050103,,,,,35.1806985,-80.9134064,24000,5,seconds,Interpolated from MAP.,NAD83,636.3,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19821027,32,ft,32.5,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351052080543001,ME-359 YRW B12 YORK RD LF,Well,,3050103,,,,,35.1812541,-80.9081285,24000,5,seconds,Interpolated from MAP.,NAD83,691.4,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19821006,48.5,ft,49,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351052080543002,ME-360 YRW B12A YORK RD LF,Well,,3050103,,,,,35.1812541,-80.9081285,24000,5,seconds,Interpolated from MAP.,NAD83,691.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19821029,40.5,ft,41,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351056080544601,ME-366 YRW B2A YORK RD LF,Well,,3050103,,,,,35.18236515,-80.912573,24000,5,seconds,Interpolated from MAP.,NAD83,666.1,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19821028,38.5,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351057080543301,ME-354 YRW B1 YORK RD LF,Well,,3050103,,,,,35.18264296,-80.9089618,24000,5,seconds,Interpolated from MAP.,NAD83,641.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19821015,23,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351257080414101,ME-294 HBW 721 HARRISBURG RD LF,Well,,3050103,,,,,35.2159772,-80.6945132,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351258080412401,ME-260 HBW 1501 HARRISBURG RD LF,Well,,3040105,,,,,35.21625497,-80.689791,24000,5,seconds,Interpolated from MAP.,NAD83,777.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19790828,42.4,ft,84,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351258080412701,ME-272 HBW 17A HARRISBRG RD LF,Well,,3040105,,,,,35.21625497,-80.6906243,24000,5,seconds,Interpolated from MAP.,NAD83,772.2,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19871203,54.9,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351258080412702,ME-273 HBW 17B HARRISBRG RD LF,Well,,3040105,,,,,35.21625497,-80.6906243,24000,5,seconds,Interpolated from MAP.,NAD83,772,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19871203,44.7,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351258080412703,ME-274 HBW 17C HARRISBURG RD LF,Well,,3040105,,,,,35.21625497,-80.6906243,24000,5,seconds,Interpolated from MAP.,NAD83,772,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19871203,35.1,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351259080413001,ME-261 HBW 1502 HARRISBURG R LF,Well,,3040105,,,,,35.21653274,-80.6914576,24000,5,seconds,Interpolated from MAP.,NAD83,756.4,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19790829,22.4,ft,82,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351307080414601,ME-263 HBW 1504 HARRISBURG RD LF,Well,,3040105,,,,,35.2187549,-80.6959021,24000,5,seconds,Interpolated from MAP.,NAD83,773.9,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19800514,42.7,ft,44,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351317080414101,ME-266 HBW 1602 HARRISBURG RD LF,Well,,3040105,,,,,35.2215326,-80.6945132,24000,5,seconds,Interpolated from MAP.,NAD83,753,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19800513,38,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351317080414901,ME-296 HBW 8 HARRISBURG RD LF,Well,,3040105,,,,,35.2215326,-80.69673549,24000,5,seconds,Interpolated from MAP.,NAD83,742.8,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19830601,23.3,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351319080411701,ME-267 HBW 1603 HARRISBURG R LF,Well,,3040105,,,,,35.22208815,-80.68784649,24000,5,seconds,Interpolated from MAP.,NAD83,774.7,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19790830,50.9,ft,84,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351319080415101,ME-298 HBW 9 HARRISBURG RD LF,Well,,3040105,,,,,35.22208816,-80.697291,24000,5,seconds,Interpolated from MAP.,NAD83,738.3,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19830531,28.3,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351320080415501,ME-249 HBW 10 HARRISBURG RD LF,Well,,3040105,,,,,35.2223659,-80.6984022,24000,5,seconds,Interpolated from MAP.,NAD83,759.6,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19830526,48.9,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351321080414601,ME-248 HBW 1 HARRISBURG RD LF,Well,,3040105,,,,,35.2226437,-80.6959021,24000,5,seconds,Interpolated from MAP.,NAD83,762.9,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19820908,48.9,ft,48.9,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351322080415001,ME-292 HBW7 HARRISBURG RD LF,Well,,3040105,,,,,35.22292147,-80.6970133,24000,5,seconds,Interpolated from MAP.,NAD83,744.4,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19820908,48.3,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351326080415501,ME-285 HBW 11 HARRISBURG RD LF,Well,,3040105,,,,,35.22403256,-80.6984022,24000,5,seconds,Interpolated from MAP.,NAD83,714.8,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19830602,23.8,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351327080413501,ME-283 HBW 2100 HARRISBURG RD LF,Well,,3040105,,,,,35.2243103,-80.6928465,24000,5,seconds,Interpolated from MAP.,NAD83,742,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,119,Piedmont and Blue Ridge crystalline-rock aquifers,Saprolite,,19830304,59.2,ft,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351327080414601,ME-297 HBW 800 HARRISBURG RD LF,Well,,3040105,,,,,35.2243103,-80.6959021,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-351330080410801,ME-289 HBW 433 HARRISBURG RD LF,Well,,3040105,,,,,35.2251436,-80.6853465,24000,5,seconds,Interpolated from MAP.,NAD83,781.2,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,37,119,,,,,,,,,NWIS
