OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99100233,Sample-Routine,Water,Surface Water,11/19/90,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429930,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400626,Sample-Routine,Water,Surface Water,11/7/83,11:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400556,Sample-Routine,Water,Surface Water,8/1/84,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210782005,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100047,Sample-Routine,Water,Surface Water,6/10/81,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400638,Sample-Routine,Water,Surface Water,5/16/84,12:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000690,Not determined,Water,Surface Water,10/22/79,17:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214620750,,,Not determined,Not Determined (historical),USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000285,Sample-Routine,Water,Surface Water,3/24/80,10:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700335,Sample-Routine,Water,Surface Water,1/29/87,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500426,Sample-Routine,Water,Surface Water,10/24/84,13:05:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400234,Sample-Routine,Water,Surface Water,3/28/84,9:40:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0208700780,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.00100578,Sample-Routine,Water,Surface Water,3/26/01,12:36:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214658250,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Accepted,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900344,Sample-Routine,Water,Surface Water,2/14/89,13:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900341,Sample-Routine,Water,Surface Water,2/14/89,11:40:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210782005,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400672,Sample-Routine,Water,Surface Water,6/11/84,9:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789120,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98401031,Sample-Routine,Water,Surface Water,2/28/84,9:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214632322,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301562,Sample-Routine,Water,Surface Water,7/28/93,15:40:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429912,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1100,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900785,Sample-Routine,Water,Surface Water,7/24/79,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02106651,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1100,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800239,Sample-Routine,Water,Surface Water,2/17/88,10:20:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210787855,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1100,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600210,Sample-Routine,Water,Surface Water,3/20/86,10:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210782005,,,Peak stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1100,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98901866,Sample-Routine,Water,Surface Water,7/10/89,10:55:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1100,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400951,Not determined,Water,Surface Water,12/7/83,13:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212404990,,,Not determined,Not Determined (historical),USGS,USGS,USGS,Unknown,,Fecal Coliform,1100,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300168,Sample-Routine,Water,Surface Water,9/26/83,8:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02086849,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1100,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900779,Sample-Routine,Water,Surface Water,5/2/89,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02126000,UNABLE TO RR HG-D;VALUE VERIFIED;INTE,,Falling stage,Flood,USGS,USGS,USGS,Unknown,,Fecal Coliform,11000,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600041,Sample-Routine,Water,Surface Water,1/22/86,9:35:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02086849,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,12,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000409,Sample-Routine,Water,Surface Water,5/29/80,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105524,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,12,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401542,Sample-Routine,Water,Surface Water,5/13/94,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03453500,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,12,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700080,Sample-Routine,Water,Surface Water,8/2/77,11:45:00,EDT,,,,Other:Not valid for new data entry,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,12,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600315,Sample-Routine,Water,Surface Water,5/8/86,9:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091970,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,12,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700501,Sample-Routine,Water,Surface Water,5/17/77,10:30:00,EDT,,,,Other:Not valid for new data entry,USGS-02105769,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,12,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97901146,Sample-Routine,Water,Surface Water,7/2/79,13:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,12,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100391,Sample-Routine,Water,Surface Water,2/11/81,0:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03450000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,12,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600374,Sample-Routine,Water,Surface Water,5/28/86,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02085079,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400209,Sample-Routine,Water,Surface Water,6/5/84,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02086849,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100035,Sample-Routine,Water,Surface Water,10/8/80,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99203621,Sample-Routine,Water,Surface Water,9/15/92,14:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300217,Sample-Routine,Water,Surface Water,3/14/83,12:20:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600116,Sample-Routine,Water,Surface Water,12/30/85,11:50:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500317,Sample-Routine,Water,Surface Water,12/17/84,8:55:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0209741955,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700529,Sample-Routine,Water,Surface Water,9/22/77,10:30:00,EDT,,,,Other:Not valid for new data entry,USGS-02106648,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100102,Sample-Routine,Water,Surface Water,11/17/80,12:25:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800207,Sample-Routine,Water,Surface Water,11/10/77,12:00:00,EST,,,,,USGS-02084160,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401295,Sample-Routine,Water,Surface Water,2/18/94,9:30:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Rising stage,Storm,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400640,Sample-Routine,Water,Surface Water,6/11/84,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400434,Sample-Routine,Water,Surface Water,9/19/84,10:50:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02097314,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401211,Sample-Routine,Water,Surface Water,11/16/93,17:25:00,EST,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214184000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900118,Sample-Routine,Water,Surface Water,4/18/79,9:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701529,Sample-Routine,Water,Surface Water,12/3/96,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429960,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301074,Sample-Routine,Water,Surface Water,5/20/93,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214183365,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800333,Sample-Routine,Water,Surface Water,6/21/78,10:30:00,EDT,,,,,USGS-02084558,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000078,Sample-Routine,Water,Surface Water,1/2/80,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600372,Sample-Routine,Water,Surface Water,5/28/86,8:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0208700780,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000416,Sample-Routine,Water,Surface Water,3/18/80,10:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02105769,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800707,Sample-Routine,Water,Surface Water,9/8/88,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400035,Sample-Routine,Water,Surface Water,9/10/84,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900783,Sample-Routine,Water,Surface Water,5/3/89,14:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900247,Sample-Routine,Water,Surface Water,3/14/89,12:00:00,EST,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988490,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700280,Sample-Routine,Water,Surface Water,1/23/87,9:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210782005,,,Peak stage,Flood,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100073,Sample-Routine,Water,Surface Water,5/12/81,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300215,Sample-Routine,Water,Surface Water,11/15/82,9:45:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02089500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701752,Sample-Routine,Water,Surface Water,4/2/97,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214652625,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99500631,Sample-Routine,Water,Surface Water,6/5/95,7:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429920,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200389,Sample-Routine,Water,Surface Water,10/8/81,15:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02146300,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99306242,Sample-Routine,Water,Surface Water,8/25/93,16:00:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214126765,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99102934,Sample-Routine,Water,Surface Water,8/27/91,14:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429930,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701754,Sample-Routine,Water,Surface Water,4/2/97,11:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214658250,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800295,Sample-Routine,Water,Surface Water,3/11/88,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0210789100,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99101965,Sample-Routine,Water,Surface Water,5/9/91,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212429930,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900768,Sample-Routine,Water,Surface Water,11/28/78,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02106651,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,12000,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99306251,Sample-Routine,Water,Surface Water,9/28/93,16:00:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214157625,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,13,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97901133,Sample-Routine,Water,Surface Water,10/4/78,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,13,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300248,Sample-Routine,Water,Surface Water,2/18/93,12:30:00,EST,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214184000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,13,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99306245,Sample-Routine,Water,Surface Water,9/14/93,16:05:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214157625,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,13,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100364,Sample-Routine,Water,Surface Water,8/18/81,12:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,13,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99403595,Sample-Routine,Water,Surface Water,9/7/94,13:45:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02083500,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),Weighted-bottle sampler,,Fecal Coliform,13,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
