OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,ProviderName
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8550000,LITTLE COHARIE CRK AT SR 1207 NR MCDANIEL,River/Stream,3030006,,,34.835,-78.367,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8560000,GREAT COHARIE CRK AT SR 1636 TIMOTHY,River/Stream,3030006,,,35.244,-78.45,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8580000,GREAT COHARIE CRK AT SR 1311 NR CLINTON,River/Stream,3030006,,,35.0248,-78.3717,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8600000,GREAT COHARIE CRK AT NC 24 NR CLINTON,River/Stream,3030006,,,34.992,-78.379,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8604000,Great Coharie Crk at SR 1214,River/Stream,3030006,,,34.9182,-78.3892,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8606000,GREAT COHARIE CRK AT SR 1211 N BUTLER CROSSROAD,River/Stream,3030006,,,34.863,-78.357,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8610000,GRT COHAIRE CR AT SR1206 NR INGOLD INACT-770912,River/Stream,3030006,,,34.7888889,-78.3208333,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8610001,Little Coharie Crk at SR 1207,River/Stream,3030006,,,34.8994,-78.4428,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8612000,COHARIE CRK AT US 701 NR GARLAND,River/Stream,3030006,,,34.818,-78.364,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8620000,COHARIE CRK TRIB NR GARLAND,River/Stream,3030006,,,34.796,-78.367,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8640000,COHARIE CRK AT SR 1134 NR GARLAND,River/Stream,3030006,,,34.788,-78.322,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8660000,SIX RUNS CRK AT SR 1740 NR HARGRAVE CROSSROADS,River/Stream,3030006,,,35.117,-78.252,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8680000,STEWARTS CRK AT WARSAW,River/Stream,3030006,,,34.994,-78.078,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8700000,STEWARTS CRK NR WARSAW,River/Stream,3030006,,,34.962,-78.081,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8720000,MILLERS CRK AT SR 1107 MAGNOLIA,River/Stream,3030006,,,34.911,-78.101,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8725000,SIX RUNS CRK AT SR 1960 NR TAYLORS BRIDGE,River/Stream,3030006,,,34.852,-78.2448,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8730000,SIX RUNS CRK AT US 421,River/Stream,3030006,,,34.853,-78.247,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8732000,SIX RUNS CRK AT SR 1130 NR CANADY,River/Stream,3030006,,,34.824,-78.308,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8740000,Six Runs Crk at SR 1003,River/Stream,3030006,,,34.7933,-78.3112,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8750000,BLACK RIV AT NC 411 NR TOMAHAWK,River/Stream,3030006,,,34.7544,-78.2891,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8752000,BLACK RIV AT NC 41 NR HARRELLS,River/Stream,3030006,,,34.717,-78.264,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8754000,BLACK RIV AT SR 1007 NR KERR,River/Stream,3030006,,,34.675,-78.232,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8760000,BLACK RIV AT SR 1005 AT IVANHOE,River/Stream,3030006,,,34.614,-78.252,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8780000,BLACK RIV AT SR 1544 AT ANGIER,River/Stream,3030006,,,35.491,-78.71,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,85,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8800000,BLACK RIV AT DUNN,River/Stream,3030006,,,35.315,-78.561,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,85,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8820000,BLACK RIV NR DUNN,River/Stream,3030006,,,35.283,-78.638,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,85,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8840000,STONY RUN NR DUNN,River/Stream,3030006,,,35.314,-78.511,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,101,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8860000,STONY RUN TRIB NR DUNN,River/Stream,3030006,,,35.325,-78.517,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,101,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8880000,MINGO SWAMP AT NC 55 NR DUNN,River/Stream,3020201,,,35.3,-78.492,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,101,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8900000,MINGO SWAMP AT US 421 NR DUNN,River/Stream,3030006,,,35.272,-78.586,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8919000,S RIV AT SR 1503 NR PARKERSBURG,River/Stream,3030006,,,34.8122,-78.4568,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,17,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8920000,SOUTH RIV NR KERR,River/Stream,3030006,,,34.64,-78.311,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8940000,BLACK RIV NR IVANHOE,River/Stream,3030006,,,34.558,-78.256,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,163,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8960000,COLLY CRK AT WHITE LAKE,River/Stream,3030006,,,34.656,-78.467,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,17,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8968710,SINGLETARY LAKE ABOVE LAKE DRAIN,Lake,3030006,,,34.5861111,-78.4583333,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,17,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8978510,SINGLETARY LK AT N END X-REF B8340400 CLEAN LK,Lake,3030006,,,34.5861111,-78.4583333,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,17,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8978610,SINGLETARY LAKE AT CENTER NR WHITE LAKE CLEAN LK,Lake,3030006,,,34.5972222,-78.4680556,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,17,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8980000,COLLY CRK NR WHITE LAKE,River/Stream,3030006,,,34.582,-78.386,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,17,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8990000,BLACK RIV AT NC 11 AND 53 NR AT KINSON,River/Stream,3030006,,,34.475,-78.2,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9000000,BLACK RIV ABOVE THOROFARE,River/Stream,3030006,,,34.4312,-78.1441,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9010000,MOORES CRK AT NC 210 NR CURRIE,River/Stream,3030006,,,34.46,-78.112,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9013000,BLACK RIV AT RACCOON ISLAND NR HUGGINS,River/Stream,3030006,,,34.372,-78.0721,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9020000,CAPE FEAR RIV DNS HALE PT LANDING NR PHOENIX,River/Stream,3030005,,,34.31808,-78.02639,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9040000,CAPE FEAR RIV ABOVE MILE MARKER 7,River/Stream,3030005,,,34.271,-78,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9050000,CAPE FEAR RIV AT NAVASSA,River/Stream,3030005,,,34.2612,-77.9891,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9060000,CAPE FEAR RIV AT US 117 WILMINGTON,Estuary,3030005,,,34.242,-77.958,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9080000,NORTHEAST CAPE FEAR RIV AT SR 1937 NR MT OLIVE,River/Stream,3030007,,,35.1914,-78.0176,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,191,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9090000,NORTHEAST CAPE FEAR RIV AT NC 403 NR WILLIAMS,River/Stream,3030007,,,35.1784,-77.9807,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9100000,NORTHEAST CAPE FEAR RIV AT NC 11 AT KORNEGAY,River/Stream,3030007,,,35.053,-77.838,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9120000,GOSHEN SWAMP TRIB NR FAISON50,River/Stream,3030007,,,35.123,-78.153,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9140000,GOSHEN SWAMP AT US 117 NR FAISON,River/Stream,3030007,,,35.133,-78.124,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9160000,REEDY BR AT FAISON,River/Stream,3030007,,,35.117,-78.128,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9180000,GOSHEN SWAMP AT NC 403 NR FAISON,River/Stream,3030007,,,35.123,-78.093,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9190000,GOSHEN SWAMP AT SR 1305 NR FRIENDSHIP,River/Stream,3030007,,,35.089,-78.024,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9194995,LIMESTONE CRK 0.7 MI UPS 24 NR HADLEY PS 1,River/Stream,3030007,,,34.91,-77.685,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9195000,LIMESTONE CRK AT 24 H HADLEY,River/Stream,3030007,,,34.916,-77.693,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9200000,MAXWELL CRK TRIB NR ROSE HILL,River/Stream,3030007,,,34.863,-78.037,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9220000,CABIN BRANCH NR ROSE HILL,River/Stream,3030007,,,34.867,-78.01,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9240000,MAXWELL CRK AT SR 1141 NR SUTTON,River/Stream,3030007,,,34.867,-77.938,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9250000,STOCKING HEAD CRK AT NC 50,River/Stream,3030007,,,34.867,-77.866,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9255000,STOCKING HEAD CRK AT SR 1953 NR HALLSVILLE,River/Stream,3030007,,,34.874,-77.874,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9260000,MUDDY CRK TRIB AT SR 1801 NR BEULAVILLE,River/Stream,3030007,,,34.907,-77.75,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9280000,MUDDY CRK TRIB AT SR 1804 NR BEULAVILLE,River/Stream,3030007,,,34.888,-77.76,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9290000,NE CAPE FEAR RIV AT NC 41 INACTIVE,River/Stream,3030007,,,34.8305,-77.8323,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9300000,REEDY BR AT SR 1932 NR ROSE HILL,River/Stream,3030007,,,34.831,-77.986,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9320000,REEDY BR AT SR 1102 NR ROSE HILL,River/Stream,3030007,,,34.823,-77.977,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9340000,ISLAND CRK TRIB AT ROSE HILL,River/Stream,3030007,,,34.814,-78.015,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9360000,ISLAND CRK TRIB NR ROSE HILL,River/Stream,3030007,,,34.812,-77.993,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9370000,ISLAND CRK AT NC 41 NR MURPHY,River/Stream,3030007,,,34.784,-77.906,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9400000,ROCKFISH CRK NR WALLACE,River/Stream,3030007,,,34.742,-78.039,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9430000,Rockfish Crk at US 117,River/Stream,3030007,,,34.7168,-77.9795,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9470000,ROCKFISH CRK AT I40 AT WALLACE,River/Stream,3030007,,,34.7191,-77.9462,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9480000,NORTHEAST CAPE FEAR RIV AT SR 1318 NR WATHA,River/Stream,3030007,,,34.6459,-77.8725,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9490000,Angola Crk at NC 53,River/Stream,3030007,,,34.6562,-77.7351,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9500000,Burgaw Canal at old RR track,River/Stream,3030007,,,34.5667,-77.9394,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9520000,Burgaw Canal at US 117,River/Stream,3030007,,,34.5638,-77.922,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9530000,NORTHEAST CAPE FEAR RIV NR BURGAW,River/Stream,3030007,,,34.6,-77.875,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9540000,BURGAW CRK AT SR 1411 AT WALKERS,River/Stream,3030007,,,34.542,-77.854,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9580000,NORTHEAST CAPE FEAR RIV AT US 117 AT CASTLE HAYNE,River/Stream,3030007,,,34.3647,-77.8976,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9600000,PRINCE GEORGE CRK SR 1318 NR CASTLE HAYNE,River/Stream,3030007,,,34.339,-77.875,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9620000,PRINCE GEORGE CRK AT CASTLE HAYNE,River/Stream,3030007,,,34.339,-77.894,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9640000,PRINCE GEORGE CRK AT US 117 NR CASTLE HAYNE,River/Stream,3030007,,,34.343,-77.906,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9660000,NORTHEAST CAPE FEAR RIV WRIGHTSBORO,River/Stream,3030007,,,34.312,-77.957,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9700000,SPRING BR AT NC 132 AT WILMINGTON,River/Stream,3030007,,,34.254,-77.871,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9720000,SMITH CRK AT US 117 AND NC 133 AT WILMINGTON,River/Stream,3030007,,,34.2586,-77.9391,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9740000,NORTHEAST CAPE FEAR RIV AT US 421 AT WILMINGTON,Estuary,3030007,,,34.2518,-77.951,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9760000,CAPE FEAR RIV AT US 117 AT WILMINGTON,Estuary,3030005,,,34.238,-77.954,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9780000,BRUNSWICK RIV AT BELLVILLE,Estuary,3030005,,,34.232,-77.988,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9800000,CAPE FEAR RIV AT CM 61 AT WILMINGTON,Estuary,3030005,,,34.1943,-77.9568,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9820000,CAPE FEAR RIV AT CM 56 NR WILMINGTON,Estuary,3030005,,,34.1504,-77.9548,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9840000,CAPE FEAR RIV AT CM 44 NR WILMINGTON,Estuary,3030005,,,34.131,-77.945,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9845000,TOWN CRK AT NC 133 NR SOUTHPORT,River/Stream,3030005,,,34.136,-77.988,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9846010,BOILING SPRINGS LAKE IN UPS END,Reservoir,3030005,,,34.0308333,-78.0566667,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9846110,BOILING SPRINGS LAKE IN NORTH LAKE ARM,Reservoir,3030005,,,34.0419444,-78.0508333,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9846210,BOILING SPRINGS LAKE AT DAM,Reservoir,3030005,,,34.0466667,-78.0377778,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9847000,LILIPUT CRK AT NC 133 NR SOUTHPORT,River/Stream,3030005,,,34.072,-77.956,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9850000,KINGS CRK NR HOLLY RIDGE,River/Stream,3020302,,,34.496,-77.508,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,133,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9860000,INTRACOASTAL WTRWY AT GOOSE BAY NR HOLLY RIDGE,Canal Transport,3020302,,,34.4997222,-77.43,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,133,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9865000,ICW AT MORRIS LANDING,Canal Transport,3020302,,,34.4687,-77.5079,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,133,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9870000,ICW AT SURF CITY,Canal Transport,3020302,,,34.428,-77.55,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9870500,ICW AT THOMAS LANDING,Canal Transport,3020302,,,34.486,-77.476,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,133,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9871000,TOPSAIL SOUND AT TOPSAIL BEACH,Estuary,3020302,,,34.364,-77.634,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9872000,ICW AT CM 102 NR LONG POINT,Canal Transport,3020302,,,34.3354,-77.7047,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,141,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9872500,ICW AT CM 123 NR HOWE POINT,Canal Transport,3020302,,,34.2477,-77.7838,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9874000,ICW AT US 74 AND 76 AT WRIGHTSVILLE BEACH,Canal Transport,3020302,,,34.2182,-77.8129,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9876000,ICW AT CM 151 NR EVERETT N,Canal Transport,3020302,,,34.0985,-77.8779,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9879000,CAROLINA BEACH HARBOR AT CM 7,Estuary,3020302,,,34.0457,-77.8901,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9880000,ICW NR CAROLINA BEACH,Canal Transport,3030005,,,34.056,-77.901,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,129,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9900000,CAPE FEAR RIV AT CM 34 NR WILMINGTON,Estuary,3030005,,,34.043,-77.932,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9920000,CAPE FEAR RIV AT CM 19 NR WILMINGTON,Estuary,3030005,,,33.942,-77.965,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9940000,COTTAGE CRK AT SOUTHPORT,Estuary,3030005,,,33.925,-78.033,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9960000,COTTAGE CRK NR SOUTHPORT,Estuary,3030005,,,33.918,-78.032,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9980000,ICW 1000 ft.west Southports discharge,Canal Transport,3030005,,,33.9173,-78.0379,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9990000,ICW AT YAUPON BEACH,Canal Transport,3030005,,,33.921,-78.073,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,19,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-C0009000,CATAWBA RIV AT SR 1273 AT OLD FORT,River/Stream,3050101,,,35.62,-82.178,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,111,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-C0010000,CATAWBA RIV AT OLD FORT,River/Stream,3050101,,,35.62,-82.178,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,111,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-C0040000,CATAWBA RIV TRIB BELOW OLD FORT,River/Stream,3050101,,,35.629,-82.172,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,111,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-C0070000,CATAWBA RIV NR OLD FORT,River/Stream,3050101,,,35.633,-82.163,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,111,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-C0100000,CURTIS CRK NR OLD FORT,River/Stream,3050101,,,35.644,-82.161,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,111,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-C0130000,CURTIS CRK AT I40 NR OLD FORT,River/Stream,3050101,,,35.636,-82.157,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,111,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-C0145000,CATAWBA RIV AT SR 1234 NR GREENLEE,River/Stream,3050101,,,35.6361,-82.1578,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,111,STORET
