OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2007-000033289,Sample-Routine,Water,,5/14/07,10:13:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,42,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2006-000049532,Sample-Routine,Water,,12/29/06,10:46:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,510,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2007-000006661,Sample-Routine,Water,,11/29/07,9:42:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,34,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2011-000003645,Sample-Routine,Water,,5/18/11,9:54:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,665: reagent contamination,,,35.393,-78.0258,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,96,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2010-000003595,Sample-Routine,Water,,5/10/10,10:39:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,42,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2013-100000599,Sample-Routine,Water,,10/17/13,11:52:00,EST,0.1,m,LNBA,,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMONITORING,Grab,Surface Water Grab,Water Sampler (Other),,,Fecal Coliform,,96,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2010-001748358,Sample-Routine,Water,,10/25/10,11:40:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,,Water Sampler (Other),,,Fecal Coliform,,27,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2011-001880934,Sample-Routine,Water,,4/13/11,13:30:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,,Water Sampler (Other),,,Fecal Coliform,,74,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1995-000462622,Sample-Routine,Water,,7/12/95,14:55:00,EDT,0,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,310,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-NCLAKESMON88906NEU0-2000,Sample-Routine,Water,,7/28/00,,,0.15,m,NCLAKESMON,NC Lakes Monitoring - NC Division of Water Quality,21NC03WQ-NEU07113A,Chlorophyll a value not accurate due to lab error.,,,35.23522,-77.88683,Grab,21NC03WQ,Grab,,Water Sampler (Other),Present Below Quantification Limit,,Fecal Coliform,,,,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,Lower Quantitation Limit,1,cfu/100ml,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-LNBA2009-000492537,Sample-Routine,Water,,10/8/09,10:36:00,EDT,0.1,m,LNBA,,21NCCOALITIONS-J6010950,,,,35.2817,-77.8686,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,90,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2008-000487976,Sample-Routine,Water,,6/2/08,9:48:00,EDT,0.1,m,LNBA,,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,70,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2004-000164650,Sample-Routine,Water,,6/26/04,10:48:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,64,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1997-000442750,Sample-Routine,Water,,5/8/97,10:20:00,EDT,0,m,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,40,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1996-000448306,Sample-Routine,Water,,11/18/96,16:30:00,EST,0,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,94,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2006-000090350,Sample-Routine,Water,,1/30/06,10:40:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,,,35.229,-77.846,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,17,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2011-000004281,Sample-Routine,Water,,6/14/11,9:41:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5500000,665: reagent contamination,,,35.32239,-78.12815,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,200,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2011-000004348,Sample-Routine,Water,,6/14/11,10:21:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6010950,665: reagent contamination,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,12,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2010-000008197,Sample-Routine,Water,,12/30/10,9:57:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J5500000,,,,35.32239,-78.12815,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,46,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS20150812-J5970000-370556629,Sample-Routine,Water,Surface Water,8/12/15,11:50:00,EST,0.1,m,NCAMBNT,,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,Surface Water Grab,Water Sampler (Other),,,Fecal Coliform,,320,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1995-000465675,Sample-Routine,Water,,2/27/95,9:20:00,EST,0,m,LNBA,LNBA,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,19,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2009-000034640,Sample-Routine,Water,,9/10/09,8:49:00,EDT,0.1,m,LNBA,,21NCMONITORING-J5900000,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,150,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2004-000183765,Sample-Routine,Water,,1/30/04,10:50:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,68,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2002-000279633,Sample-Routine,Water,,1/11/02,,,,,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,175,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2003-000221050,Sample-Routine,Water,,4/24/03,11:32:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,53,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2004-000176855,Sample-Routine,Water,,3/26/04,10:58:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J5900000,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,12,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2004-000176892,Sample-Routine,Water,,3/26/04,11:43:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J6010950,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,,,35.2817,-77.8686,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,1,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2003-000212624,Sample-Routine,Water,,6/20/03,12:19:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,72,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1997-000436645,Sample-Routine,Water,,9/5/97,9:10:00,EDT,0,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,32,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1999-000397307,Sample-Routine,Water,,4/17/99,,,,,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,42,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2000-000351705,Sample-Routine,Water,,7/12/00,,,,,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,76,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2000-000358865,Sample-Routine,Water,,5/15/00,,,,,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,20,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2006-000054840,Sample-Routine,Water,,11/10/06,10:51:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,370,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2006-000070315,Sample-Routine,Water,,7/14/06,10:51:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,30,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2006-000076814,Sample-Routine,Water,,5/26/06,9:50:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,46,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2007-000013648,Sample-Routine,Water,,9/21/07,9:05:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,440,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2007-000013724,Sample-Routine,Water,,9/21/07,9:45:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,46,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2013-010000617,Sample-Routine,Water,,1/2/13,11:24:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,160,cfu/100ml,,Final,,Actual,,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2013-030000617,Sample-Routine,Water,,3/6/13,11:14:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,13,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2013-000062856,Sample-Routine,Water,,6/5/13,10:35:00,EDT,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,,Water Sampler (Other),,,Fecal Coliform,,39,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2013-120000599,Sample-Routine,Water,,12/4/13,11:17:00,EST,0.1,m,LNBA,,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMONITORING,Grab,Surface Water Grab,Water Sampler (Other),,,Fecal Coliform,,120,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2013-110000599,Sample-Routine,Water,,11/6/13,10:48:00,EST,0.1,m,LNBA,,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMONITORING,Grab,Surface Water Grab,Water Sampler (Other),,,Fecal Coliform,,59,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2008-001572227,Sample-Routine,Water,,11/6/08,11:50:00,EST,0.1,m,NCAMBNT,,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,,Water Sampler (Other),,,Fecal Coliform,,41,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1996-000458159,Sample-Routine,Water,,1/12/96,14:10:00,EST,0,m,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,223,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2004-000174099,Sample-Routine,Water,,4/19/04,11:33:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,39,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2003-000186669,Sample-Routine,Water,,12/22/03,11:07:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,48,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2002-000250303,Sample-Routine,Water,,8/13/02,,,,,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,6,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2001-000300014,Sample-Routine,Water,,8/7/01,,,,,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,74,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2001-000305387,Sample-Routine,Water,,7/6/01,,,,,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,110,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2001-000310002,Sample-Routine,Water,,6/8/01,,,,,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,100,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1997-000434811,Sample-Routine,Water,,10/10/97,8:40:00,EDT,0,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,99,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2005-000103020,Sample-Routine,Water,,9/29/05,10:50:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,46,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2010-000001900,Sample-Routine,Water,,2/25/10,10:00:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,55,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2011-000008220,Sample-Routine,Water,,12/21/11,10:44:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,12,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2014715883,Sample-Routine,Water,,10/9/14,10:34:00,EST,0.1,m,LNBA,,21NCMONITORING-J5500000,,,,35.32239,-78.12815,Grab,21NCMONITORING,Grab,Surface Water Grab,Water Sampler (Other),,,Fecal Coliform,,156,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,Estimated Detection Level,1,cfu/100ml,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2013-000069234,Sample-Routine,Water,,8/15/13,11:35:00,EDT,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,,Water Sampler (Other),,,Fecal Coliform,,39,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2008-001547055,Sample-Routine,Water,,8/12/08,12:15:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,,Water Sampler (Other),,,Fecal Coliform,,47,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2013-120000617,Sample-Routine,Water,,12/2/13,11:29:00,EST,0.1,m,LNBA,,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCMONITORING,Grab,Surface Water Grab,Water Sampler (Other),,,Fecal Coliform,,37,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
